dose,cv_iiv,AUC_E,Cmax,herg_rate,caco_rate,composite_score,constraints_met,efficacy_score,safety_score
50.0,0.15,8.266402122038103,4.987202526817276,0.4470202294549717,1.0,-9.55874796100947,False,0.5510934748025402,0.27648988527251417
50.0,0.175,8.266402122038103,4.987202526817276,0.4754511399338136,1.0,-9.564434143105238,False,0.5510934748025402,0.26227443003309325
50.0,0.19999999999999998,8.266402122038103,4.987202526817276,0.5015366465555463,1.0,-9.569651244429584,False,0.5510934748025402,0.2492316767222269
50.0,0.22499999999999998,8.266402122038103,4.987202526817276,0.5257311145061585,1.0,-9.574490138019707,False,0.5510934748025402,0.23713444274692075
50.0,0.25,8.266402122038103,4.987202526817276,0.548361148036529,1.0,-9.579016144725781,False,0.5510934748025402,0.22581942598173543
50.0,0.27499999999999997,8.266402122038103,4.987202526817276,0.5696705270951741,1.0,-9.583278020537511,False,0.5510934748025402,0.21516473645241296
50.0,0.3,8.266402122038103,4.987202526817276,0.5898467290413496,1.0,-9.587313260926745,False,0.5510934748025402,0.2050766354793252
50.0,0.32499999999999996,8.266402122038103,4.987202526817276,0.609037477322792,1.0,-9.591151410583034,False,0.5510934748025402,0.195481261338604
50.0,0.35,8.266402122038103,4.987202526817276,0.6273615403286573,1.0,-9.594816223184207,False,0.5510934748025402,0.18631922983567129
50.0,0.375,8.266402122038103,4.987202526817276,0.6449160429733088,1.0,-9.598327123713137,False,0.5510934748025402,0.17754197851334563
50.0,0.39999999999999997,8.266402122038103,4.987202526817276,0.6617815726725524,1.0,-9.601700229652986,False,0.5510934748025402,0.16910921366372378
50.0,0.42499999999999993,8.266402122038103,4.987202526817276,0.6780258401787659,1.0,-9.60494908315423,False,0.5510934748025402,0.160987079910617
50.0,0.44999999999999996,8.266402122038103,4.987202526817276,0.6937063645303264,1.0,-9.60808518802454,False,0.5510934748025402,0.15314681773483674
50.0,0.475,8.266402122038103,4.987202526817276,0.7088724815715706,1.0,-9.61111841143279,False,0.5510934748025402,0.14556375921421472
50.0,0.5,8.266402122038103,4.987202526817276,0.7235668727947061,1.0,-9.614057289677417,False,0.5510934748025402,0.1382165636026469
57.89473684210526,0.15,9.501718368143115,5.774655557367373,0.4989752300219301,1.0,-9.519726311278662,False,0.6334478912095409,0.25051238498903494
57.89473684210526,0.175,9.501718368143115,5.774655557367373,0.530710527802994,1.0,-9.526073370834874,False,0.6334478912095409,0.234644736098503
57.89473684210526,0.19999999999999998,9.501718368143115,5.774655557367373,0.5598278267733054,1.0,-9.531896830628936,False,0.6334478912095409,0.22008608661334728
57.89473684210526,0.22499999999999998,9.501718368143115,5.774655557367373,0.5868343007882157,1.0,-9.537298125431919,False,0.6334478912095409,0.20658284960589213
57.89473684210526,0.25,9.501718368143115,5.774655557367373,0.6120945137320195,1.0,-9.542350168020679,False,0.6334478912095409,0.19395274313399025
