smiles,pchembl_value,chembl_id,target_chembl_id,target_name,MW,LogP
O=C1CC[C@@]2(Cc3ccccc3)c3ccc(O)cc3CC[C@@H]2C1,7.055,CHEMBL310180,CHEMBL1871,Androgen receptor,306.405,4.188
O=C1COc2ccc(OCCNCCCOc3cccc4[nH]ccc34)cc2N1,6.0,CHEMBL180700,CHEMBL210,Beta-2 adrenergic receptor,381.432,2.936
O=C1Cc2c(ccc(Cl)c2N2CCN(Cc3ccccc3)CC2)N1,6.27,CHEMBL330108,CHEMBL217,Dopamine D2 receptor,341.842,3.157
O=C1Cc2c(cccc2N2CCN(Cc3ccccc3)CC2)N1,8.1,CHEMBL314952,CHEMBL217,Dopamine D2 receptor,307.397,2.503
O=C1Cc2c(cccc2OCCNCc2ccccc2)N1,8.37,CHEMBL59752,CHEMBL217,Dopamine D2 receptor,282.343,2.35
O=C1N(CCC2CCCC2)CCN1c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,5.3,CHEMBL351967,CHEMBL210,Beta-2 adrenergic receptor,577.751,4.57
O=C1N(CCC2CCCCC2)CCN1c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,6.0,CHEMBL350590,CHEMBL210,Beta-2 adrenergic receptor,591.778,4.961
O=C1N(CCCC(F)(F)C(F)(F)F)CCN1c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,5.05,CHEMBL83754,CHEMBL210,Beta-2 adrenergic receptor,641.663,4.968
O=C1N(CCCC(F)(F)F)CCN1c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,5.19,CHEMBL79675,CHEMBL210,Beta-2 adrenergic receptor,591.656,4.333
O=C1N(CCCC2CCCC2)CCN1c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,6.12,CHEMBL22317,CHEMBL210,Beta-2 adrenergic receptor,591.778,4.961
O=C1N(CCCC2CCCCC2)CCN1c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,6.0,CHEMBL165177,CHEMBL210,Beta-2 adrenergic receptor,605.805,5.351
O=C1N(CCCc2ccc(Cl)cc2)CCN1c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,5.7,CHEMBL162043,CHEMBL210,Beta-2 adrenergic receptor,634.202,5.276
O=C1N(CCCc2ccccc2)CCN1c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,5.7,CHEMBL166188,CHEMBL210,Beta-2 adrenergic receptor,599.757,4.623
O=C1N(Cc2ccc(F)c(F)c2)CCN1c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,5.46,CHEMBL350931,CHEMBL210,Beta-2 adrenergic receptor,607.683,4.469
O=C1N=C(NCc2cccs2)S/C1=C\c1ccc2ncccc2c1,6.47,CHEMBL393929,CHEMBL301,CDK2,351.456,4.056
O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,5.55,CHEMBL362558,CHEMBL301,CDK2,512.545,3.417
O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,5.27,CHEMBL362588,CHEMBL301,CDK2,494.555,3.278
O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,5.28,CHEMBL178737,CHEMBL301,CDK2,496.527,2.124
O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCOCCOCCOCCn1cc2c2ccccc21,6.0,CHEMBL340259,CHEMBL301,CDK2,485.54,3.227
O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCOCCOCCOCCn1cc2c2cccnc21,5.61,CHEMBL340935,CHEMBL301,CDK2,486.528,2.622
O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@H]1CC[C@@H]3O1,6.27,CHEMBL289422,CHEMBL301,CDK2,393.402,4.607
O=C1NC(=O)c2cc(Nc3ccc(F)cc3)c(Nc3ccc(F)cc3)cc21,5.91,CHEMBL7939,CHEMBL203,EGFR,365.339,4.336
O=C1NC(=O)c2cc(Nc3ccc(O)cc3)c(Nc3ccc(O)cc3)cc21,5.6,CHEMBL267019,CHEMBL203,EGFR,361.357,3.469
O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,6.66,CHEMBL268868,CHEMBL203,EGFR,329.359,4.057
O=C1NC2C=CC=CC2/C1=C/Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,6.0,CHEMBL191845,CHEMBL301,CDK2,400.485,2.48
O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2,8.52,CHEMBL79834,CHEMBL217,Dopamine D2 receptor,383.467,3.023
O=C1N[C@@H]2CCCCCCCCCCCC[C@H](NC2=O)C(=O)N2CCC[C@@H]2C(=O)N[C@H]1CCCCCSSc1ccccn1,7.46,CHEMBL404172,CHEMBL325,Serotonin 5-HT2A receptor,645.936,5.536
O=C1Nc2cc(-c3ccccc3)ccc2/C1=C/c1[nH]cc2c1CCNC2=O,5.24,CHEMBL57325,CHEMBL301,CDK2,355.397,3.46
O=C1Nc2ccc(-c3cnco3)cc2/C1=C/Nc1ccc2c(c1)CS(=O)(=O)C2,8.05,CHEMBL1234087,CHEMBL301,CDK2,393.424,3.175
O=C1Nc2ccc(Br)cc2/C1=C/c1[nH]cc2c1CCNC2=O,6.28,CHEMBL57639,CHEMBL301,CDK2,358.195,2.556
O=C1Nc2ccc(Br)cc2/C1=C/c1[nH]cc2c1CCOC2=O,6.72,CHEMBL292864,CHEMBL301,CDK2,359.179,2.983
O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1[nH]cc2c1CCNC2=O,7.17,CHEMBL60990,CHEMBL301,CDK2,323.308,1.492
O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1[nH]cc2c1CCOC2=O,8.4,CHEMBL293068,CHEMBL301,CDK2,324.292,1.919
O=C1Nc2ccc(Cl)cc2/C1=C/c1[nH]cc2c1CCOC2=O,7.06,CHEMBL301639,CHEMBL301,CDK2,314.728,2.874
O=C1Nc2ccc(F)c3c(NCCO)cc(-c4ccc[nH]4)c1c23,7.27,CHEMBL83499,CHEMBL301,CDK2,311.316,2.944
O=C1Nc2ccc(F)c3c(OCCCO)cc(-c4ccc[nH]4)c1c23,7.75,CHEMBL79364,CHEMBL301,CDK2,326.327,3.301
O=C1Nc2ccc(F)c3c(OCCO)cc(-c4ccc[nH]4)c1c23,7.21,CHEMBL79848,CHEMBL301,CDK2,312.3,2.911
O=C1Nc2ccc(F)c3c(S(=O)(=O)CCO)cc(-c4ccc[nH]4)c1c23,7.82,CHEMBL310529,CHEMBL301,CDK2,360.366,2.306
O=C1Nc2ccc(F)c3c(SCCO)cc(-c4ccc[nH]4)c1c23,7.85,CHEMBL83369,CHEMBL301,CDK2,328.368,3.624
